,place,team,score,captured_at
0,1,Unagi,1479612,2021-07-12 18:16:52.642455
1,2,Special Weekend,1457751,2021-07-12 18:16:52.642455
2,3,RGBTeam,1429910,2021-07-12 18:16:52.642455
3,4,manarimo,1425070,2021-07-12 18:16:52.642455
4,5,chirijako,1300999,2021-07-12 18:16:52.642455
5,6,DiamondPrincess,1289019,2021-07-12 18:16:52.642455
6,7,All your poses are belong to us,1208993,2021-07-12 18:16:52.642455
7,8,Frictionless Bananas,1123226,2021-07-12 18:16:52.642455
8,9,All In,1119229,2021-07-12 18:16:52.642455
9,10,negainoido,1114647,2021-07-12 18:16:52.642455
10,11,Independent Set,1102579,2021-07-12 18:16:52.642455
11,12,fixstars,1101639,2021-07-12 18:16:52.642455
12,13,Closed and Restricted Boltzmann Machine ,1085497,2021-07-12 18:16:52.642455
13,14,sanma,1083280,2021-07-12 18:16:52.642455
14,15,301,1065657,2021-07-12 18:16:52.642455
15,16,Sosuupoyo(sugoi),1035664,2021-07-12 18:16:52.642455
16,17,WILD BASHKORT MAGES,1020707,2021-07-12 18:16:52.642455
17,18,Pigimarl,986891,2021-07-12 18:16:52.642455
18,19,CowDay,979287,2021-07-12 18:16:52.642455
19,20,pegovka,961439,2021-07-12 18:16:52.642455
20,21,Gon the Fox,940656,2021-07-12 18:16:52.642455
21,22,"Snakes, Monkeys and Two Smoking Lambdas",931092,2021-07-12 18:16:52.642455
22,23,The Cat is #1!!,918461,2021-07-12 18:16:52.642455
23,24,Olympia,915909,2021-07-12 18:16:52.642455
24,25,ã°ã¬ã¼ã¹ããªã,903714,2021-07-12 18:16:52.642455
25,26,Folding at home,896842,2021-07-12 18:16:52.642455
26,27,Powder,870462,2021-07-12 18:16:52.642455
27,28,KMC,867748,2021-07-12 18:16:52.642455
28,29,lambda-llama,836381,2021-07-12 18:16:52.642455
29,30,udfew,834360,2021-07-12 18:16:52.642455
30,31,iehn,826367,2021-07-12 18:16:52.642455
31,32,codingteam,815846,2021-07-12 18:16:52.642455
32,33,trup16,815737,2021-07-12 18:16:52.642455
33,34,Cult of the Bound Variable,813284,2021-07-12 18:16:52.642455
34,35,ichyo,808126,2021-07-12 18:16:52.642455
35,36,bowwowforeach,755490,2021-07-12 18:16:52.642455
36,37,Rotten Lambdas,723063,2021-07-12 18:16:52.642455
37,38,Dire Kettle,708908,2021-07-12 18:16:52.642455
38,39,Fish-Aobayama,687110,2021-07-12 18:16:52.642455
39,40,okaduki,647480,2021-07-12 18:16:52.642455
40,41,Side Effects May Include...,634126,2021-07-12 18:16:52.642455
41,42,undefined,633965,2021-07-12 18:16:52.642455
42,43,Aim Tech + Godnotent,630773,2021-07-12 18:16:52.642455
43,44,Zebra Infused Hamsters,615499,2021-07-12 18:16:52.642455
44,45,EgÃ©r a marson,607643,2021-07-12 18:16:52.642455
45,46,Wheezards,591267,2021-07-12 18:16:52.642455
46,47,Skobochka,590277,2021-07-12 18:16:52.642455
47,48,The Blind Hen,590208,2021-07-12 18:16:52.642455
48,49,THIRTEEN,586611,2021-07-12 18:16:52.642455
49,50,Channable,576056,2021-07-12 18:16:52.642455
50,51,ksmlb,566910,2021-07-12 18:16:52.642455
51,52,uni,562533,2021-07-12 18:16:52.642455
52,53,kstm.org,554078,2021-07-12 18:16:52.642455
53,54,Raging Mushrooms,538014,2021-07-12 18:16:52.642455
54,55,xyznlp,519326,2021-07-12 18:16:52.642455
55,56,Chordify,519280,2021-07-12 18:16:52.642455
56,57,uguu.org,499942,2021-07-12 18:16:52.642455
57,58,OMG ICFP FTW,497291,2021-07-12 18:16:52.642455
58,59,Bottle kids!,486556,2021-07-12 18:16:52.642455
59,60,The Wild Lobsters,485942,2021-07-12 18:16:52.642455
60,61,LILiK,461924,2021-07-12 18:16:52.642455
61,62,Invisible Imp,454210,2021-07-12 18:16:52.642455
62,63,Bunny Girl Senpai,443983,2021-07-12 18:16:52.642455
63,64,Yoshida Chicken Rice,442443,2021-07-12 18:16:52.642455
64,65,Eldies,428600,2021-07-12 18:16:52.642455
65,66,TeamDev,424788,2021-07-12 18:16:52.642455
66,67,Vanilla Bears,421657,2021-07-12 18:16:52.642455
67,68,seladir (cw),408471,2021-07-12 18:16:52.642455
68,69,ACCESS_VIOLATION,397626,2021-07-12 18:16:52.642455
69,70,code-o-matic,397026,2021-07-12 18:16:52.642455
70,71,TBD,392485,2021-07-12 18:16:52.642455
71,72,Sigmoid Freud,388224,2021-07-12 18:16:52.642455
72,73,Nik & Tonsky,386100,2021-07-12 18:16:52.642455
73,74,Goretz,384644,2021-07-12 18:16:52.642455
74,75,NashFP,384460,2021-07-12 18:16:52.642455
75,76,mutability,381480,2021-07-12 18:16:52.642455
76,77,'; CREATE TABLE fun(); --,373252,2021-07-12 18:16:52.642455
77,78,Piggybank Software,359910,2021-07-12 18:16:52.642455
78,79,The PET in the wall,358853,2021-07-12 18:16:52.642455
79,80,blue-poser,358466,2021-07-12 18:16:52.642455
80,81,ATS,350910,2021-07-12 18:16:52.642455
81,82,qr0m4s4n_tÃ¸4m,346149,2021-07-12 18:16:52.642455
82,83,We didn't mean to use Python,336175,2021-07-12 18:16:52.642455
83,84,cashto,330104,2021-07-12 18:16:52.642455
84,85,Rogue Operations,305392,2021-07-12 18:16:52.642455
85,86,The aRtful MUser,284170,2021-07-12 18:16:52.642455
86,87,Thirty spokes to make a wheel,279958,2021-07-12 18:16:52.642455
87,88,yorofuwa,278350,2021-07-12 18:16:52.642455
88,89,Team Sampou,276703,2021-07-12 18:16:52.642455
89,90,team classified,276689,2021-07-12 18:16:52.642455
90,91,IKS,276570,2021-07-12 18:16:52.642455
91,92,make_it_stream,268788,2021-07-12 18:16:52.642455
92,93,jabber.ru,258364,2021-07-12 18:16:52.642455
93,94,xyz600,238496,2021-07-12 18:16:52.642455
94,95,Sal's Pals,225858,2021-07-12 18:16:52.642455
95,96,Goto 11,213536,2021-07-12 18:16:52.642455
96,97,geomon,182286,2021-07-12 18:16:52.642455
97,98,taxidriver,181856,2021-07-12 18:16:52.642455
98,99,tanzaku,181092,2021-07-12 18:16:52.642455
99,100,bymski,176696,2021-07-12 18:16:52.642455
100,101,The Higher Order Of Zeuxis,176571,2021-07-12 18:16:52.642455
101,102,paiv,145533,2021-07-12 18:16:52.642455
102,103,WinterMUTE,143228,2021-07-12 18:16:52.642455
103,104,blueboars team,137119,2021-07-12 18:16:52.642455
104,105,Netvorchesk,119055,2021-07-12 18:16:52.642455
105,106,Free Tacos,108246,2021-07-12 18:16:52.642455
106,107,Sunspear,107059,2021-07-12 18:16:52.642455
107,108,182020,104262,2021-07-12 18:16:52.642455
108,109,balonit_bros,97876,2021-07-12 18:16:52.642455
109,110,The Enigma of Anilambda Fold,84034,2021-07-12 18:16:52.642455
110,111,GD,82576,2021-07-12 18:16:52.642455
111,112,Corentin,80893,2021-07-12 18:16:52.642455
112,113,cvnm,77923,2021-07-12 18:16:52.642455
113,114,Not Enough TIme,72108,2021-07-12 18:16:52.642455
114,115,Sjoerd Visscher,67901,2021-07-12 18:16:52.642455
115,116,h25,67636,2021-07-12 18:16:52.642455
116,117,Tetris Incompetence,58026,2021-07-12 18:16:52.642455
117,118,hayatox,56706,2021-07-12 18:16:52.642455
118,119,Overfull \hbox,56673,2021-07-12 18:16:52.642455
119,120,Ichigo Nudibranch,54188,2021-07-12 18:16:52.642455
120,121,Lyrical Tokarev,50156,2021-07-12 18:16:52.642455
121,122,raz,44320,2021-07-12 18:16:52.642455
122,123, Î»x.,44149,2021-07-12 18:16:52.642455
123,124,Office 14,42279,2021-07-12 18:16:52.642455
124,125,NCPLUG,41019,2021-07-12 18:16:52.642455
125,126,dis_functional,34363,2021-07-12 18:16:52.642455
126,127,lost in sente,26734,2021-07-12 18:16:52.642455
127,128,sumoru,26286,2021-07-12 18:16:52.642455
128,129,RAINBOU,26093,2021-07-12 18:16:52.642455
129,130,chaos,21677,2021-07-12 18:16:52.642455
130,131,R22b,18858,2021-07-12 18:16:52.642455
131,132,"I, Albatross",17611,2021-07-12 18:16:52.642455
132,133,mnuyav,16987,2021-07-12 18:16:52.642455
133,134,kineto,12979,2021-07-12 18:16:52.642455
134,135,Immutable,10563,2021-07-12 18:16:52.642455
135,136,True Neutrals,10503,2021-07-12 18:16:52.642455
136,137,georgia,10388,2021-07-12 18:16:52.642455
137,138,srush,8882,2021-07-12 18:16:52.642455
138,139,Appelsientje,6201,2021-07-12 18:16:52.642455
139,140,Slow,6115,2021-07-12 18:16:52.642455
140,141,erujolc,5404,2021-07-12 18:16:52.642455
141,142,Junk Food,5390,2021-07-12 18:16:52.642455
142,143,Bears ate our brains,4322,2021-07-12 18:16:52.642455
143,144,AFK,4031,2021-07-12 18:16:52.642455
144,145,B-Team,4031,2021-07-12 18:16:52.642455
145,146,nobu,4031,2021-07-12 18:16:52.642455
146,147,cw,4031,2021-07-12 18:16:52.642455
147,148,Foundation,4031,2021-07-12 18:16:52.642455
148,149,scalapendra,4031,2021-07-12 18:16:52.642455
149,150,Codermal,4031,2021-07-12 18:16:52.642455
150,151,concord,4031,2021-07-12 18:16:52.642455
151,152,Ty chyo pyos?,4031,2021-07-12 18:16:52.642455
152,153,bc,4031,2021-07-12 18:16:52.642455
153,154,frant1c,3960,2021-07-12 18:16:52.642455
154,155,DNIWE :: a,3522,2021-07-12 18:16:52.642455
155,156,Canivsar,3000,2021-07-12 18:16:52.642455
156,157,comonad,2170,2021-07-12 18:16:52.642455
157,158,O,2170,2021-07-12 18:16:52.642455
158,159,julia,1699,2021-07-12 18:16:52.642455
159,160,gorilla,1314,2021-07-12 18:16:52.642455
