problem,your dislikes,minimal dislikes
1,2671,624
2,1037,270
3,1643,209
4,303,0
5,,54
6,33686,2663
7,4134,120
8,2541,1040
9,11423,800
10,1341,29
11,0,0
12,0,0
13,0,0
14,116,116
15,0,0
16,0,0
17,0,0
18,0,0
19,❌,5318
20,0,0
21,809,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,3409,2423
28,5122,3216
29,3958,3114
30,3662,1837
31,,10457
32,,1894
33,,2362
34,,0
35,,0
36,1657,1444
37,,1683
38,364,0
39,4974,0
40,,3768
41,288,0
42,3011,1655
43,,0
44,,8706
45,,6379
46,1545,0
47,839,0
48,11423,3617
49,78,0
50,,3299
51,,0
52,,0
53,,0
54,,0
55,,0
56,,3021
57,,4514
58,,2171
59,14470,0
60,,307
61,,12587
62,,4898
63,,0
64,,6339
65,,0
66,,7585
67,,0
68,,17923
69,,738
70,,0
71,,5230
72,,0
73,,9
74,,2383
75,,9083
76,,244
77,,0
78,,248
